amenity,name,lat,lon
bank,Сбербанк,59.9400724,30.4755822
pharmacy,Первая помощь,59.9388014,30.4775021
nightclub,Домино,59.9382466,30.4905096
library,Детская библиотека,59.9424853,30.4785081
pharmacy,Радуга,59.9455088,30.4857888
bank,Сбербанк,59.9477852,30.4741153
cafe,,59.8963785,30.4925689
car_wash,Автомойка,59.8962563,30.4925451
fountain,,59.8091202,30.5742501
fountain,,59.8086352,30.5755648
fountain,,59.808155,30.5738315
cafe,Барселона,59.9669899,30.4754165
pharmacy,Невис,59.9372367,31.0272854
cafe,Шахеризада,59.9382196,30.4747441
courthouse,Мировые судьи,59.9386972,30.4748425
pharmacy,,60.1645158,29.8582817
fuel,ПТК,59.8300898,30.5317272
cafe,,59.8890128,30.5143178
atm,,60.0750454,30.2733292
cinema,Каро фильм,59.9083944,30.4835288
cinema,Формула Кино,59.9118261,30.4464556
atm,Сбербанк,59.9112941,30.4451811
post_office,Всеволожск 188641,60.0041509,30.6087915
post_office,,59.9939918,30.6545598
cinema,Кинополис,60.0198196,30.6465715
post_office,,60.0190103,30.6487159
bar,Fidel,59.9329187,30.3274795
pharmacy,Государственная аптека,59.917244,30.471654
restaurant,Евразия,59.9189957,30.4724255
biergarten,Гермес,59.9084121,30.4837624
police,Отделение полиции №74,59.8578904,30.1792009
bank,Сбербанк,59.8595573,30.1851948
restaurant,Мики,59.8755617,30.4592322
theatre,Мастерская,59.8772638,30.4574083
pub,Камелот,59.9119574,30.468618
restaurant,Две палочки,59.9169252,30.4720955
bank,Альфа-Банк,60.0065057,30.2567891
bank,Альфа-Банк,59.9590493,30.3539856
bank,Альфа Private,59.9336629,30.3237277
bank,Альфа-Банк,59.9254899,30.3570735
bank,Альфа-Банк,59.9304908,30.3642146
bank,Альфа-Банк,59.9282464,30.4114121
toilets,,60.1359995,30.5267683
cafe,Горка,59.8975532,30.6889863
parking,,59.748673,30.6068332
cafe,,59.919543,30.7371953
cafe,Столовая ПК «Темп»,59.9192831,30.3487523
cafe,,59.9180354,30.3469419
cafe,,59.9183598,30.3464542
cafe,,59.9167769,30.3496167
cafe,Смайли,59.9193924,30.3537328
fast_food,,59.9179568,30.3487906
cafe,Вкусняшка,60.0445969,30.4636492
parking,,59.7525974,30.5790933
pharmacy,Биотехнотроник,59.9592004,30.3532156
pharmacy,,59.9580625,30.3555556
cinema,Синема Парк,60.0587742,30.3362716
fast_food,KFC,60.0588683,30.3373775
toilets,,60.0196177,30.349618
bicycle_rental,Velik и rolic,60.0144817,30.3519577
pharmacy,,59.7189639,30.4186712
post_box,,59.7179192,30.4177344
post_box,,59.9589048,30.4115078
parking,,59.7284683,30.2334864
bank,Сбербанк,59.8068048,30.5713301
fast_food,Макдоналдс,59.9001486,30.2721628
fast_food,Фрикадельки,59.8996957,30.2732953
bank,Сбербанк,59.9662624,30.3511345
bank,Санкт-Петербург,59.9586314,30.4074665
police,39 ОМ,59.8117891,30.5778211
fuel,Фаэтон (Заброшена/Не работает),59.7882747,30.6195346
bar,Белград,59.9326778,30.3271449
bar,Бермуды,59.9302095,30.3249991
restaurant,Старгород,59.9320699,30.3211974
cinema,Родина,59.9362738,30.3417727
pub,Tara Brooch,59.9305577,30.3726008
pub,Foggy Dew,59.9398585,30.360842
fast_food,Волна FM,59.9328677,30.3249597
restaurant,Macaroni,59.9277588,30.3429133
fuel,Киришиавтосервис 9,60.1769422,30.1502586
bank,Балтийский Банк,59.8439106,30.2497211
atm,,59.8367233,30.2637399
pharmacy,Первая помощь,59.8405961,30.2382299
pharmacy,Первая помощь,59.8435273,30.2290088
pharmacy,Петербургские аптеки,59.8424484,30.2427171
doctors,,60.319582,30.4355956
post_box,,60.3187058,30.4383168
cafe,,60.3179147,30.4406073
parking,,60.171258,29.8139013
restaurant,Русская рыбалка,60.1706629,29.8132924
bar,The Bridge,59.9382569,30.3061909
restaurant,Китайский двор,59.9315611,30.2915751
restaurant,Тайвань,59.9180212,30.2968552
fast_food,Макдоналдс,59.8581984,30.2290237
fast_food,Макдоналдс,59.8517625,30.3507488
fast_food,Макдоналдс,59.916217,30.3102715
fast_food,Макдоналдс,59.919425,30.3393805
fast_food,Макдоналдс,59.93542,30.3163601
fast_food,Макдоналдс,59.9433513,30.2786963
fast_food,Макдоналдс,59.9945009,30.147885
fast_food,Макдоналдс,60.0081631,30.2971914
fast_food,Макдоналдс,60.011085,30.3967954
fast_food,Subway,59.8938709,30.5147285
fast_food,Subway,59.9245194,30.3210475
fast_food,Сабвэй,59.9362412,30.320991
pharmacy,,60.0523906,30.3282951
pharmacy,,60.053696,30.3344829
pharmacy,,60.051855,30.3329471
pharmacy,,60.0562295,30.3240379
waste_disposal,,60.0811563,30.2614275
toilets,,59.8865952,29.9019378
restaurant,Евразия,59.935124,30.3235267
waste_disposal,,60.082195,30.2561362
cafe,,60.2581738,29.6003252
pharmacy,,60.2580831,29.5982676
telephone,,59.9569759,30.319477
waste_disposal,,59.9535964,30.2991435
waste_disposal,,59.95336,30.3020995
pub,Ливерпуль,59.9360688,30.3547699
cafe,Coffeeshop,59.8488283,30.3221197
restaurant,Pizza Hut,59.8453019,30.3229537
atm,,59.8453291,30.322759
bank,Советский,59.8451384,30.322693
bank,Райффайзен Банк,59.8490855,30.3222502
parking,,59.9270068,30.3827303
parking,,60.0109898,30.3625196
pub,Puberty,59.9734616,30.3339331
cafe,Пирога,59.97277,30.340207
pub,Shamrock Irish Pub,59.9266486,30.2958789
restaurant,Строганов Стейк Хаус,59.9333647,30.3000931
restaurant,Русская Рюмочная №1,59.9325351,30.2973976
post_box,,59.95625,30.3040996
post_office,Санкт-Петербург 197198,59.9563371,30.3042559
cafe,Кофе Хаус,59.9550583,30.357573
bank,,59.9446188,30.2830957
bank,Сбербанк,59.9429619,30.2773872
bank,Ситибанк,59.9435267,30.279363
cafe,Модерн,59.8480275,30.3224964
bank,Хоум Кредит,59.9538881,30.3568718
police,МРЭО ГИБДД,59.7307568,30.5882494
drinking_water,,60.1981237,30.3152761
restaurant,,59.9350026,30.3714069
parking,,59.916719,30.3753675
pharmacy,Фармадом,59.878582,30.9864248
pharmacy,,59.8861329,30.991837
pharmacy,Лека-Фарм,59.9582204,30.3116498
bank,Сбербанк,59.9579395,30.3328318
bench,,59.9991232,30.0341269
pub,Перекрёсток,59.8751414,30.399088
restaurant,Ани,59.8730112,30.4027146
pub,,59.8730433,30.4028131
bank,,59.8761207,30.3988292
atm,,59.8760944,30.3988678
restaurant,Джорджия,59.9142629,30.3531238
restaurant,,59.9140953,30.3540377
parking,,59.9357495,30.3190968
restaurant,Grand Империал,59.9037738,30.3197933
pharmacy,Фармакор,59.8756642,30.4459922
pharmacy,Здоровые люди,59.8763468,30.4436667
bar,,59.8677478,30.4619525
restaurant,Оба два,59.938823,30.362681
hospital,Роддом №2,59.9453897,30.3587408
waste_disposal,,59.9844398,30.5181711
restaurant,Munhell,59.909136,30.4791502
pharmacy,Первая помощь,59.9372476,30.4893328
collection office,ПЭС центр приема платежей №26,59.9224173,30.4790508
restaurant,Олень,59.8722864,30.3922508
pharmacy,Горные вершины,59.8733185,30.4021663
pharmacy,,59.8755611,30.3987839
pub,,59.8669142,30.4124569
cafe,Ани,59.8654894,30.4130781
fuel,"Neste № 308 ""Софийская""",59.8789077,30.3977287
fuel,ПТК,59.7297033,30.583417
restaurant,Аззурро,59.9584715,30.299367
cafe,Столовая на Почтамтской,59.9326603,30.3042196
cafe,Папарацци,59.9322927,30.3029926
fuel,Фаэтон,59.7525055,30.6082289
cafe,,59.9863072,30.3593673
fast_food,Теремок,59.9003921,30.272005
cafe,,59.9054142,30.4201406
drinking_water,,60.080866,30.308907
cinema,Мираж Синема,59.9902051,30.256694
cafe,,59.9893838,30.2580085
food_court,,59.9900749,30.2567039
bar,,59.9930926,30.2527214
fast_food,,59.9997413,30.2433485
pub,,60.0121884,30.243177
cinema,КАРО,60.007529,30.2601309
police,,60.0123269,30.2459116
fast_food,,60.0121659,30.2448129
cinema,Кронверк,60.0123736,30.3985699
fast_food,,60.0116106,30.2442039
fast_food,Теремок,60.0081825,30.2477166
cafe,,60.0081427,30.2471482
place_of_worship,,59.997683,30.2641617
pharmacy,Эдифарм,59.9627102,30.3097846
kindergarten,Детский сад №53,59.9636053,30.3104538
bank,Инкасбанк,59.9639572,30.3101855
fuel,Фаэтон,59.9006972,30.9978386
cafe,,60.0053331,30.2613188
waste_disposal,,59.9557945,30.3085556
waste_disposal,,59.9574695,30.3065935
cafe,Метрополь,59.9567821,30.3119043
fast_food,,60.0603079,30.3598703
car_wash,ПТК,59.8516368,30.3393564
pharmacy,Первая Помощь,59.9596871,30.4391927
pharmacy,Горные вершины,59.8812536,30.4691087
bank,Сбербанк,59.8745032,29.8569312
waste_disposal,,59.8739706,30.4475293
bank,Санкт-Петербург,59.8504805,30.3134708
atm,,59.8801144,30.4613925
pharmacy,Горные вершины,59.8800798,30.4600841
atm,,59.8801019,30.4574553
bank,Сбербанк,59.8799995,30.4572535
fast_food,,59.8803932,30.4624159
parking,,59.9756967,30.3005821
bank,Санкт-Петербург,59.9605114,30.2929866
bank,Ханты-Мансийский банк,59.9604676,30.2930639
drinking_water,,60.0795739,30.2597546
hospital,Детская больница святой Марии-Магдалины,59.946895,30.2814163
bar,SПБ,59.925439,30.315849
place_of_worship,Храм во имя Святых апостолов Петра и Павла,59.9717903,31.0241759
restaurant,Мацони,60.0293388,30.3988145
pharmacy,Фарммедсервис,59.8598227,30.3062394
post_box,,59.884666,30.3190079
clock,,59.885626,30.3191727
fast_food,Тили-тесто,59.8491586,30.3225444
toilets,,59.8495926,30.3233046
restaurant,Две палочки,59.8576874,30.3929313
fuel,"Statoil № 303 ""Химиков""",59.9672862,30.4705699
cafe,Теремок,59.8486298,30.3210532
restaurant,Две палочки,59.847609,30.3209845
bank,ВТБ24,59.8457538,30.3224385
toilets,,59.8666936,30.3216413
cafe,Вояж,59.8490882,30.3233746
pub,Dr. Inki,59.8502936,30.325008
waste_disposal,,59.8863248,30.3179009
waste_disposal,,59.942242,30.2974921
pharmacy,,59.8491396,30.3243304
restaurant,Сказки Шахерезады,59.851853,30.3200277
police,,59.957943,30.3218238
pharmacy,Первая помощь,59.9567933,30.3262363
cafe,Рыжий кот,59.9575794,30.3281716
cafe,,59.8468153,30.3308092
bar,PulkoffClub,59.8474233,30.3305132
bank,Сбербанк,59.850754,30.3289595
waste_disposal,,59.9293476,30.2430467
doctors,Подстанция скорой помощи №25,59.9752667,30.4068105
cinema,КАРО Фильм - Варшавский экспресс,59.9069413,30.3077311
waste_disposal,,59.9474876,30.3817043
waste_disposal,,59.9208869,30.3271629
toilets,,59.9210265,30.3277122
fast_food,Пицца Хат,59.933343,30.3149826
pharmacy,Фармакор,59.9124835,30.4614602
pharmacy,Государственная аптека,59.9096935,30.4788892
restaurant,Васаби,59.9093551,30.478945
pharmacy,Удачная аптека,59.9103703,30.4782648
bank,Ак Барс Банк,60.0112845,30.3944721
bank,Ситибанк,60.0114526,30.3946785
pub,Beer House,60.0113861,30.3945728
bank,Кредит Европа,60.0111075,30.3944056
bank,Балтийский,60.0106322,30.3939946
bench,,60.1517239,30.5342181
bench,,60.1498259,30.538063
pharmacy,207,59.8837152,30.4814166
cinema,Пик,59.9263495,30.3212206
cafe,Лев,59.884084,30.4841741
telephone,,59.883657,30.4810347
bank,Сбербанк,59.9202427,30.4920052
pharmacy,,59.9603806,30.3449362
fast_food,Колобок,59.9466038,30.3597353
atm,,59.9467313,30.3597301
bank,Петровский,59.8496658,30.3294232
pub,Marco Polo,59.8531955,30.3302258
cinema,Синема Парк,59.8669547,30.3514794
bar,Мадрид,59.5686811,30.0696424
cafe,Пирожковая,59.5746487,30.0742313
post_office,Гатчина-1,59.5713497,30.0779648
pub,Mollie's Pub,59.9276605,30.3433773
restaurant,Счастье,59.9291168,30.3437517
clock,,59.8536605,30.3207982
clock,,59.8718765,30.3207851
waste_disposal,,59.8361746,30.260985
waste_disposal,,59.9421887,30.4736788
restaurant,Евразия,59.9475457,30.473551
cinema,Mori Cinema,59.9464337,30.4751594
pharmacy,Радуга,59.9465681,30.4749984
restaurant,Две палочки,59.9468611,30.4743696
waste_disposal,,59.8353491,30.2640259
waste_disposal,,59.8367143,30.2629583
waste_disposal,,59.8390266,30.2579482
parking,,59.9434552,30.4748896
parking,,59.945642,30.474297
waste_disposal,,59.9430429,30.4747029
waste_disposal,,59.9414489,30.4708751
waste_disposal,,60.0428699,30.3363063
waste_disposal,,60.0432118,30.340385
waste_disposal,,60.044339,30.3385808
waste_disposal,,60.0410432,30.3451718
waste_disposal,,59.9456091,30.4718829
parking,,59.8897257,30.2785837
fuel,ПТК,59.890684,30.2799884
doctors,Женская консультация № 16,59.9375802,30.274432
pharmacy,,59.8360448,30.4075562
cinema,Формула кино,59.8306102,30.3774296
restaurant,Ширван,59.8347284,30.4183779
cafe,,59.8338841,30.4142084
pharmacy,Озерки,59.8295681,30.385687
pharmacy,Петербургские аптеки,60.0390175,30.4045003
theatre,Аквариум (детский),60.0364981,30.4127088
post_box,,60.0332148,30.3972439
atm,,59.9935273,30.3532866
library,Фундаментальная библиотека СПбГПУ. Отдел художественной литературы,60.0087766,30.3923279
waste_disposal,,59.8795602,30.4636187
waste_disposal,,59.8799532,30.4652816
atm,,60.008831,30.3709848
atm,,59.9319343,30.4403292
telephone,,59.9315636,30.4425049
telephone,,59.9314203,30.4422573
bank,ТрансКредитБанк,59.9316507,30.4414297
telephone,,59.9319166,30.4406004
telephone,,59.9319461,30.4406417
atm,,59.9320936,30.4408741
atm,,59.9321261,30.4407974
atm,,59.9320938,30.4406594
atm,,59.9319254,30.4404589
bank,Балтийский,59.9318043,30.441583
fuel,ПТК,59.815021,30.3220263
pharmacy,Первая помощь,59.9198296,30.4654371
library,2-я детская библиотека,59.9533841,30.306011
waste_disposal,,59.9597026,30.3075392
waste_disposal,,59.9584027,30.3091513
atm,,59.9596206,30.3123179
pharmacy,Фармакор,59.8145379,30.2945449
theatre,Государственная академическая капелла Санкт-Петербурга,59.9399632,30.3207909
waste_disposal,,59.9581254,30.312203
atm,,60.0090083,30.3708963
fountain,,60.0088691,30.3723827
restaurant,Rыба,59.9778202,30.3185431
pub,НаBeeRежная,59.9782888,30.3146973
bank,УралСиб,59.8734526,30.4385008
parking,,59.7697837,30.7924105
parking,,59.7737816,30.7952581
car_wash,,59.8732496,30.3525082
restaurant,Токио-City,59.9334739,30.311211
cafe,Арт-Буфет,59.933104,30.3110802
parking,,59.8646562,30.4726304
pharmacy,Первая помощь,59.8662939,30.466655
bank,Сбербанк,60.025146,30.6318538
waste_disposal,,60.0062198,30.352146
parking,,59.9833459,30.655254
doctors,Женская консультация,59.9686319,30.3084409
pub,James Cook,59.9689297,30.3088502
bank,Глобэкс,59.9682697,30.3094544
cafe,О'шале,59.8544518,30.3064759
waste_disposal,,59.8638859,30.3149421
waste_disposal,,59.8639724,30.3025229
waste_disposal,,59.8625821,30.3018665
waste_disposal,,59.8616213,30.3032627
waste_disposal,,59.8626476,30.3121145
pharmacy,Эдифарм №2,59.862609,30.314548
pharmacy,ЛекОптТорг,59.8646017,30.3146429
pharmacy,Первая Помощь,59.8646047,30.320121
cafe,Pro-Sushi,59.8514701,30.3141407
university,ИНЖЭКОН,59.8912543,30.3180778
restaurant,Bona Capona,59.8581807,30.3909298
restaurant,Yumm,59.8549929,30.3751288
pharmacy,Первая Помощь,59.8557071,30.3793969
waste_disposal,,60.0841667,30.2648881
waste_disposal,,60.0820449,30.2764364
drinking_water,,60.084364,30.2665184
drinking_water,,60.0813169,30.280995
waste_disposal,,60.0791689,30.2831988
parking,,59.7773773,30.7930161
parking,,59.7774894,30.7935031
pharmacy,Фармакор,60.0232707,30.2871392
nightclub,КоSмос,60.0101568,29.7190721
pharmacy,Норман,60.0094616,29.7222077
restaurant,Зеленый Чай,59.9518633,30.2165906
restaurant,Амроц,59.9492986,30.4616058
cafe,Ажур,59.8826794,30.4753903
restaurant,Евразия,59.8684728,30.3130111
bank,Газпромбанк,59.8555305,30.3725092
clock,,59.8754852,30.3136522
fast_food,Макдоналдс,59.8637892,30.4037717
restaurant,Такао,59.8633951,30.405868
pharmacy,Первая Помощь,59.8491209,30.387962
pub,Толстый фраер,59.8499439,30.391005
bank,Русславбанк,59.9727701,30.3057096
atm,,59.9265946,30.3207377
atm,,59.9252838,30.3219138
bank,Райффайзенбанк,59.9253537,30.3218084
bar,Alex P.,59.9213936,30.3387242
pub,Диккенс,59.921551,30.3191796
clock,,59.8496251,30.3221468
bank,Home Credit,59.8498404,30.3209558
fast_food,Оллис,59.9719861,30.3474498
bank,Альфа-Банк,59.8513774,30.3205789
bank,Росбанк,59.8518479,30.3196525
bank,Сбербанк,59.8529436,30.3204735
bank,ВТБ,59.8530564,30.3253553
pharmacy,Петербургские аптеки,59.8537665,30.3250077
dentist,Профи Клиник,59.8536911,30.3267898
fast_food,Пельменная,59.8547874,30.3249607
cafe,Кофе Хаус,59.8558488,30.3217961
bank,Возрождение,59.8545545,30.3207201
dentist,Пандент,59.8507438,30.3266178
pharmacy,Первая помощь,59.8518665,30.3305351
pharmacy,Эдифарм,59.8526522,30.3305406
waste_disposal,,59.7452189,30.5931123
cafe,Уютное,59.745327,30.5919966
police,Участковый пункт полиции,59.7495378,30.5885311
police,ГИБДД,59.7424835,30.6149884
hospital,Колпинский психоневрологический диспансер,59.7493432,30.5952903
hospital,Колпинский противотуберкулезный диспансер,59.74929,30.5959599
parking,,59.900345,30.4900234
cafe,,59.7493564,30.5906595
restaurant,Ижора,59.7490916,30.6046295
pharmacy,,59.7422793,30.5819497
townhall,Администрация Колпинского района,59.748949,30.5976559
atm,ВТБ24,59.7473325,30.5812784
atm,Сбербанк,59.7356979,30.6144268
bank,CitiBank,59.9281909,30.4119588
bank,Сбербанк,59.7426301,30.5821012
atm,,59.8427333,30.324934
bank,Промсвязьбанк,59.8436486,30.3249323
post_box,,59.7497879,30.5643975
telephone,,59.7497735,30.5646448
cafe,,59.7509831,30.5795549
waste_disposal,,59.7452388,30.5910106
post_box,,59.7488657,30.608391
telephone,,59.7488909,30.6081563
cafe,,59.7408851,30.5923908
library,,59.7443644,30.5828943
fuel,Шелл,59.7727301,30.1253959
fuel,ПТК,59.8516738,30.3392365
waste_disposal,,59.9345381,30.2706263
restaurant,Лилак,59.8398375,30.3287179
bank,Сбербанк,59.8382679,30.3321802
restaurant,Евразия,59.8371801,30.3336094
police,Пост ДПС,59.7756359,30.6562508
car_wash,Автомойка,59.8303092,30.3436394
bank,Сбербанк,59.9443054,31.0381496
atm,ПриватБанк,59.832603,30.415433
bank,Сбербанк,59.833771,30.414188
cafe,Кофе Хауз,59.9364034,30.3264115
parking,,60.2717674,29.6547183
restaurant,il Konti,59.9329768,30.273113
police,База вневедомственной охраны,59.9337121,30.2721759
cafe,Пироговый дворик,60.034807,30.4173627
pharmacy,O3,59.9720405,30.3404913
bank,ВЕФК,59.9726244,30.340262
bank,Собинбанк,59.9744884,30.3390984
fast_food,Блеф,59.9578701,30.3532744
bank,Балтинвестбанк,59.9575366,30.3550978
cafe,Дубай,59.9578424,30.3552302
bank,Советский,59.9577619,30.3557023
car_wash,,59.8304692,30.3475943
car_wash,,59.8306121,30.3489127
bank,БТА Банк,59.97146,30.340291
police,Отдел полиции №20,59.97099,30.3448907
pharmacy,Здоровые Люди,59.9710661,30.3464761
university,"АНОО ВПО ""Межрегиональный институт Экономики и Права при МПА ЕврАзЭС""",59.9715314,30.3465221
bank,Сбербанк,59.9715904,30.3470393
cafe,Север-Метрополь,59.930377,30.3668044
restaurant,Япоша,59.9238568,30.3837748
restaurant,Евразия,59.9269374,30.375446
bar,Никаких Орхидей,59.9253572,30.3543692
cinema,Художественный,59.9317554,30.3536464
cinema,Кристалл-Палас,59.9334066,30.3463065
restaurant,Суши Те Вёсла,59.8801794,30.4577744
pharmacy,Радуга,59.8799402,30.4567898
townhall,ЗАГС Невского района,59.8797832,30.4550628
fast_food,Макдоналдс,59.8313854,30.3478794
atm,ВТБ24,59.7353628,30.5829287
bench,,59.7438616,30.5955101
bench,,59.7439157,30.5950487
bench,,59.7437481,30.5949951
bench,,59.743721,30.5954564
bench,,59.7405909,30.5934823
clock,,59.8292742,30.3460457
bar,SПБ,59.9349533,30.3356869
restaurant,Нихао,59.9241374,30.4150499
waste_disposal,,60.0528591,30.3505131
waste_disposal,,60.0519076,30.3550907
waste_disposal,,60.0505641,30.3537313
waste_disposal,,60.0056507,30.2595634
post_office,Отделение связи №188306,59.5748753,30.1355018
parking,,60.087105,29.9612529
cafe,Муравейник,60.104502,29.9738778
pharmacy,,60.0894545,29.9564229
parking,,59.9019066,29.8174029
cinema,Аврора,59.8788488,29.9210598
toilets,,59.8804672,29.9103276
parking,,60.0112764,30.6655157
bank,Сбербанк,60.0962687,29.9722797
atm,,59.9556693,30.3567042
bank,Балтийский банк,59.9710764,30.387322
pharmacy,Родник здоровья,59.9792375,30.3934776
fuel,Норма,59.9089621,31.0463656
cafe,Кофе Хауз,59.9323675,30.3475322
clock,,59.8977669,30.3185569
fast_food,Столовая,59.8508285,30.30817
atm,,59.8783667,29.9018532
restaurant,Куранты,59.8823216,29.8900809
pharmacy,Здоровые люди,59.8820467,29.8928003
restaurant,Аль-Шарк,59.8819869,29.893124
cafe,Петергофское,59.8818583,29.8940542
doctors,Медсанчасть №67,59.8817524,29.8944871
